Product_ID,Product_Name,Brand,Category,Price,Discount_Percentage,Seller_ID,Seller_Rating,Total_Sales,Return_Rate,Seller_Verified,Customer_Reviews,Review_Sentiment,Product_Rating,Number_of_Reviews,Image_Similarity_Score,Logo_Recognition,Watermark_Detection,Manufacturing_Country,QR_Code_Availability,Reported_As_Fake_By_Users,Price_Anomaly,Keyword_Mismatch,Fraudulent_Seller_Flag,Is_Counterfeit
P0001,Ray-Ban Sunglasses,Ray-Ban,Clothing,81265,1,S0001,1.5,6142,0.45,No,I love this product!,Neutral,1.1,4923,0.51,Yes,No,USA,Yes,331,No,Yes,No,0
P0002,Adidas T-Shirt,Nike,Clothing,74538,69,S0002,3.5,9334,0.39,No,Would not recommend this seller.,Neutral,4.1,2331,0.06,No,No,Vietnam,No,204,Yes,No,No,0
P0003,Rolex Watch,Adidas,Clothing,52893,16,S0003,4.1,6598,0.39,No,Seller is reliable and product is genuine.,Negative,3.4,4687,0.07,Yes,Yes,USA,No,364,No,No,Yes,1
P0004,Adidas T-Shirt,Rolex,Clothing,66581,27,S0004,3.6,3321,0.23,No,I love this product!,Negative,3.8,1903,0.57,No,No,Vietnam,Yes,489,No,Yes,Yes,1
P0005,Adidas T-Shirt,Rolex,Clothing,29930,65,S0005,3.1,6058,0.2,Yes,Packaging looks authentic.,Neutral,4.4,4014,0.57,No,No,USA,Yes,38,Yes,Yes,Yes,1
P0006,Apple iPhone,Nike,Shoes,76032,34,S0006,1.2,6256,0.15,No,Best deal in the market!,Positive,4.2,4671,0.88,Yes,Yes,China,No,88,Yes,No,No,0
P0007,Rolex Watch,Ray-Ban,Clothing,28288,4,S0007,4.9,997,0.03,Yes,Great quality product!,Negative,4.8,4988,0.56,No,No,India,No,429,No,No,No,1
P0008,Rolex Watch,Ray-Ban,Shoes,96005,64,S0008,4.2,3331,0.11,No,Not the original product.,Neutral,3.1,2060,0.96,No,No,India,No,255,No,Yes,No,1
P0009,Rolex Watch,Adidas,Clothing,49043,39,S0009,2.2,4625,0.12,Yes,Not the original product.,Neutral,3.0,141,0.05,No,Yes,Germany,Yes,479,Yes,Yes,Yes,0
P0010,Adidas T-Shirt,Nike,Accessories,14419,55,S0010,4.9,8375,0.24,No,Looks fake compared to original.,Neutral,2.6,1790,0.1,Yes,No,China,Yes,253,No,No,No,1
P0011,Ray-Ban Sunglasses,Rolex,Electronics,69846,35,S0011,3.4,3751,0.37,No,Satisfactory purchase.,Neutral,1.6,3627,0.04,No,No,India,Yes,215,Yes,Yes,Yes,0
P0012,Rolex Watch,Ray-Ban,Shoes,96622,44,S0012,3.3,3062,0.24,Yes,Packaging looks authentic.,Neutral,3.3,17,0.19,No,No,Germany,No,367,Yes,No,Yes,1
P0013,Adidas T-Shirt,Nike,Clothing,40474,22,S0013,4.0,6584,0.03,No,I love this product!,Neutral,2.1,4349,0.54,Yes,Yes,China,No,302,No,Yes,Yes,1
P0014,Apple iPhone,Ray-Ban,Accessories,16871,46,S0014,4.2,736,0.48,No,Satisfactory purchase.,Negative,4.7,465,0.65,Yes,Yes,India,No,171,Yes,No,Yes,1
P0015,Ray-Ban Sunglasses,Ray-Ban,Electronics,45584,30,S0015,3.6,3770,0.47,No,Best deal in the market!,Neutral,3.3,4472,0.05,Yes,No,USA,Yes,136,Yes,No,Yes,1
P0016,Apple iPhone,Rolex,Shoes,30129,10,S0016,1.5,5816,0.39,Yes,The logo is slightly different.,Neutral,3.4,1828,0.95,Yes,No,Vietnam,Yes,487,Yes,Yes,No,0
P0017,Ray-Ban Sunglasses,Apple,Electronics,51684,9,S0017,2.4,1885,0.5,No,Worth the price.,Neutral,2.4,3029,0.84,Yes,No,China,No,497,No,No,No,0
